0 0 25.7182
0.01 0 27.0951
0.02 0 25.8361
0.03 0 24.8103
0.04 0 24.1574
0.05 0 23.7902
0.06 0 23.6223
0.07 0 23.5803
0.08 0 23.6223
0.09 0 23.7902
0.1 0 24.162
0.11 0 24.8393
0.12 0 25.8529
0.13 0 27.0951
0.14 0 25.7182

0 0.00333333 59.243
0.01 0.00333333 148.595
0.02 0.00333333 127.377
0.03 0.00333333 109.531
0.04 0.00333333 100.243
0.05 0.00333333 96.6953
0.06 0.00333333 95.8794
0.07 0.00333333 96.0153
0.08 0.00333333 95.8469
0.09 0.00333333 96.6492
0.1 0.00333333 100.674
0.11 0.00333333 109.787
0.12 0.00333333 127.316
0.13 0.00333333 148.566
0.14 0.00333333 59.1666

0 0.00666667 57.2179
0.01 0.00666667 164.328
0.02 0.00666667 141.757
0.03 0.00666667 125.874
0.04 0.00666667 121.102
0.05 0.00666667 122.897
0.06 0.00666667 126.096
0.07 0.00666667 127.54
0.08 0.00666667 126.224
0.09 0.00666667 123.022
0.1 0.00666667 121.123
0.11 0.00666667 125.617
0.12 0.00666667 141.554
0.13 0.00666667 164.282
0.14 0.00666667 57.2179

0 0.01 51.7379
0.01 0.01 151.192
0.02 0.01 135.052
0.03 0.01 128.05
0.04 0.01 132.767
0.05 0.01 142.722
0.06 0.01 150.382
0.07 0.01 153.433
0.08 0.01 150.798
0.09 0.01 143.2
0.1 0.01 133.237
0.11 0.01 127.98
0.12 0.01 134.542
0.13 0.01 151.176
0.14 0.01 51.6776

0 0.0133333 47.36
0.01 0.0133333 137.463
0.02 0.0133333 129.104
0.03 0.0133333 132.902
0.04 0.0133333 146.941
0.05 0.0133333 163.005
0.06 0.0133333 173.157
0.07 0.0133333 176.239
0.08 0.0133333 173.712
0.09 0.0133333 163.75
0.1 0.0133333 147.566
0.11 0.0133333 133.277
0.12 0.0133333 128.928
0.13 0.0133333 137.159
0.14 0.0133333 47.3763

0 0.0166667 44.3797
0.01 0.0166667 128.301
0.02 0.0166667 127.796
0.03 0.0166667 140.803
0.04 0.0166667 161.541
0.05 0.0166667 180.523
0.06 0.0166667 189.322
0.07 0.0166667 190.045
0.08 0.0166667 189.744
0.09 0.0166667 181.556
0.1 0.0166667 162.433
0.11 0.0166667 141.175
0.12 0.0166667 127.974
0.13 0.0166667 127.896
0.14 0.0166667 44.4943

0 0.02 42.8896
0.01 0.02 123.685
0.02 0.02 128.908
0.03 0.02 147.155
0.04 0.02 171.234
0.05 0.02 189.933
0.06 0.02 193.286
0.07 0.02 187.864
0.08 0.02 193.309
0.09 0.02 190.96
0.1 0.02 172.308
0.11 0.02 147.492
0.12 0.02 129.194
0.13 0.02 123.408
0.14 0.02 42.8848

0 0.0233333 42.3928
0.01 0.0233333 121.763
0.02 0.0233333 129.094
0.03 0.0233333 148.605
0.04 0.0233333 172.415
0.05 0.0233333 189.76
0.06 0.0233333 188.772
0.07 0.0233333 174.594
0.08 0.0233333 188.47
0.09 0.0233333 190.793
0.1 0.0233333 173.546
0.11 0.0233333 148.881
0.12 0.0233333 129.391
0.13 0.0233333 121.582
0.14 0.0233333 42.3685

0 0.0266667 42.3982
0.01 0.0266667 119.531
0.02 0.0266667 125.078
0.03 0.0266667 140.446
0.04 0.0266667 158.767
0.05 0.0266667 173.224
0.06 0.0266667 175.908
0.07 0.0266667 172.263
0.08 0.0266667 176.08
0.09 0.0266667 174.089
0.1 0.0266667 159.528
0.11 0.0266667 140.576
0.12 0.0266667 125.426
0.13 0.0266667 119.302
0.14 0.0266667 42.3535

0 0.03 40
0.01 0.03 113.69
0.02 0.03 116.188
0.03 0.03 124.79
0.04 0.03 135.986
0.05 0.03 145.801
0.06 0.03 151.866
0.07 0.03 152.732
0.08 0.03 152.277
0.09 0.03 146.385
0.1 0.03 136.553
0.11 0.03 124.781
0.12 0.03 116.321
0.13 0.03 113.499
0.14 0.03 40

0 0.0333333 40.0002
0.01 0.0333333 115.223
0.02 0.0333333 114.674
0.03 0.0333333 119.365
0.04 0.0333333 127.802
0.05 0.0333333 135.859
0.06 0.0333333 141.312
0.07 0.0333333 142.539
0.08 0.0333333 141.384
0.09 0.0333333 136.253
0.1 0.0333333 127.901
0.11 0.0333333 119.44
0.12 0.0333333 114.673
0.13 0.0333333 114.691
0.14 0.0333333 40.0002

0 0.0366667 40.0003
0.01 0.0366667 121.54
0.02 0.0366667 114.543
0.03 0.0366667 114.721
0.04 0.0366667 119.044
0.05 0.0366667 124.599
0.06 0.0366667 128.57
0.07 0.0366667 130.205
0.08 0.0366667 128.639
0.09 0.0366667 124.744
0.1 0.0366667 119.157
0.11 0.0366667 114.778
0.12 0.0366667 114.547
0.13 0.0366667 121.191
0.14 0.0366667 40.0001

0 0.04 39.9999
0.01 0.04 127.526
0.02 0.04 114.599
0.03 0.04 110.486
0.04 0.04 110.404
0.05 0.04 112.505
0.06 0.04 114.628
0.07 0.04 115.47
0.08 0.04 114.626
0.09 0.04 112.433
0.1 0.04 110.365
0.11 0.04 110.563
0.12 0.04 114.563
0.13 0.04 127.276
0.14 0.04 40.0007

0 0.0433333 40.0008
0.01 0.0433333 114.646
0.02 0.0433333 103.63
0.03 0.0433333 96.4364
0.04 0.0433333 93.2109
0.05 0.0433333 92.1218
0.06 0.0433333 92.2755
0.07 0.0433333 92.4659
0.08 0.0433333 92.2799
0.09 0.0433333 92.1512
0.1 0.0433333 93.4508
0.11 0.0433333 96.6567
0.12 0.0433333 103.51
0.13 0.0433333 114.408
0.14 0.0433333 40.0005

0 0.0466667 28.338
0.01 0.0466667 31.2437
0.02 0.0466667 29.5434
0.03 0.0466667 28.1677
0.04 0.0466667 27.2627
0.05 0.0466667 26.769
0.06 0.0466667 26.5367
0.07 0.0466667 26.4652
0.08 0.0466667 26.5348
0.09 0.0466667 26.769
0.1 0.0466667 27.288
0.11 0.0466667 28.1867
0.12 0.0466667 29.5285
0.13 0.0466667 31.2437
0.14 0.0466667 28.3442

